dates,temperature_stream,dH
17-06-2019 12:00,14.957,-0.032650725133163284
17-06-2019 12:15,14.925,-0.03373071063733765
17-06-2019 12:30,14.874,-0.03472582855267387
17-06-2019 12:45,14.75,-0.037018523887342863
17-06-2019 13:00,14.628,-0.03933513870180314
17-06-2019 13:15,14.508,-0.03944846392112083
17-06-2019 13:30,14.352,-0.040324798118277695
17-06-2019 13:45,14.217,-0.04111879465842506
17-06-2019 14:00,14.101,-0.04003568639785576
17-06-2019 14:15,14.017,-0.03931189273089053
17-06-2019 14:30,13.951,-0.03765661782302782
17-06-2019 14:45,13.895,-0.037423723239133275
17-06-2019 15:00,13.85,-0.03726192931233723
17-06-2019 15:15,13.795,-0.03637205177471306
17-06-2019 15:30,13.73,-0.03612318032943815
17-06-2019 15:45,13.676,-0.03555925647354851
17-06-2019 16:00,13.62,-0.03442143604400721
17-06-2019 16:15,13.56,-0.03478819137224871
17-06-2019 16:30,13.493,-0.033965424037087404
17-06-2019 16:45,13.415,-0.03348891411223323
17-06-2019 17:00,13.345,-0.03204323516741997
17-06-2019 17:15,13.276,-0.029675336583497997
17-06-2019 17:30,13.21,-0.029787007774412216
17-06-2019 17:45,13.141,-0.02913144705262939
17-06-2019 18:00,13.072,-0.02863580879185507
17-06-2019 18:15,12.983,-0.028997024253157273
17-06-2019 18:30,12.904,-0.028608017832600533
17-06-2019 18:45,12.832,-0.029548954864648688
17-06-2019 19:00,12.77,-0.02952123911958367
17-06-2019 19:15,12.719,-0.03073868744401666
17-06-2019 19:30,12.671,-0.030297230066530408
17-06-2019 19:45,12.624,-0.03089942563709837
17-06-2019 20:00,12.58,-0.031582357486205116
17-06-2019 20:15,12.536,-0.030853292672086596
17-06-2019 20:30,12.493,-0.03333658349800684
17-06-2019 20:45,12.447,-0.03279032745523053
17-06-2019 21:00,12.402,-0.033416443189355195
17-06-2019 21:15,12.372,-0.03364662801113178
17-06-2019 21:30,12.334,-0.034767969695519374
17-06-2019 21:45,12.295,-0.03385102051979839
17-06-2019 22:00,12.251,-0.03425311352556264
17-06-2019 22:15,12.213,-0.034746468010037716
17-06-2019 22:30,12.169,-0.03364685228616954
17-06-2019 22:45,12.145,-0.033894188678213207
17-06-2019 23:00,12.121,-0.03405571320145783
17-06-2019 23:15,12.08,-0.035061214093771526
17-06-2019 23:30,12.031,-0.035397656736114474
17-06-2019 23:45,11.989,-0.03554283037832737
18-06-2019 00:00,11.951,-0.03444866426437111
18-06-2019 00:15,11.921,-0.03555257061586746
18-06-2019 00:30,11.897,-0.03776578027883947
18-06-2019 00:45,11.88,-0.04022068116705079
18-06-2019 01:00,11.869,-0.04186191837209144
18-06-2019 01:15,11.865,-0.04018755273540333
18-06-2019 01:30,11.865,-0.041123682896977085
18-06-2019 01:45,11.883,-0.04050034461774099
18-06-2019 02:00,11.915,-0.04065293027644629
18-06-2019 02:15,11.975,-0.039868816197033884
18-06-2019 02:30,12.045,-0.03939152746343571
18-06-2019 02:45,12.133,-0.03852883370142705
18-06-2019 03:00,12.233,-0.03830112752907718
18-06-2019 03:15,12.313,-0.03826718336535637
18-06-2019 03:30,12.431,-0.0354658678008055
18-06-2019 03:45,12.523,-0.03536871363222993
18-06-2019 04:00,12.5,-0.035407628770111194
18-06-2019 04:15,12.628,-0.032987249143583856
18-06-2019 04:30,12.68,-0.03446338368125595
18-06-2019 04:45,12.767,-0.03467503094038256
18-06-2019 05:00,12.999,-0.033104527210442526
18-06-2019 05:15,13.186,-0.03176228418655861
18-06-2019 05:30,13.263,-0.032033757495777804
18-06-2019 05:45,13.351,-0.027570863390518917
18-06-2019 06:00,13.557,-0.027117000458122854
18-06-2019 06:15,13.608,-0.027760110496482054
18-06-2019 06:30,13.69,-0.026712541624216317
18-06-2019 06:45,13.78,-0.025772353999001744
18-06-2019 07:00,13.952,-0.025555443114140895
18-06-2019 07:15,14.12,-0.023722675026837833
18-06-2019 07:30,14.211,-0.023794936033750623
18-06-2019 07:45,14.22,-0.022691457035603674
18-06-2019 08:00,14.384,-0.02223454724476747
18-06-2019 08:15,14.442,-0.021543529870289662
18-06-2019 08:30,14.58,-0.022304674903760053
18-06-2019 08:45,14.722,-0.020102440358566533
18-06-2019 09:00,14.8,-0.019806642780463405
18-06-2019 09:15,14.856,-0.01957927370443557
18-06-2019 09:30,14.918,-0.01785174531107913
18-06-2019 09:45,14.916,-0.019505058496126465
18-06-2019 10:00,14.861,-0.018541070366293138
18-06-2019 10:15,14.782,-0.01741096144247137
18-06-2019 10:30,14.725,-0.01679360474259656
18-06-2019 10:45,14.74,-0.01664730835766398
18-06-2019 11:00,14.81,-0.016337743164055788
18-06-2019 11:15,14.768,-0.016689645741167443
18-06-2019 11:30,14.671,-0.016171173136226607
18-06-2019 11:45,14.563,-0.017274434696989475
18-06-2019 12:00,14.49,-0.018291173956745004
18-06-2019 12:15,14.426,-0.018251240008478744
18-06-2019 12:30,14.403,-0.017829891486437474
18-06-2019 12:45,14.37,-0.018065151898474463
