dates,Temp_profondeur_10,Temp_profondeur_20,Temp_profondeur_30,Temp_profondeur_40
2015-07-23 15:30:00,17.938,20.65,17.748,19.199
2015-07-23 15:45:00,17.867,20.46,17.677,19.056
2015-07-23 16:00:00,17.843,20.579,17.629,19.246
2015-07-23 16:15:00,17.819,20.627,17.605,19.389
2015-07-23 18:00:00,17.772,20.603,17.534,17.701
2015-07-23 18:15:00,17.772,20.579,17.534,17.772
2015-07-23 18:30:00,17.772,20.484,17.534,17.558
2015-07-23 18:45:00,17.772,20.293,17.51,17.463
2015-07-23 19:00:00,17.772,20.222,17.51,17.391
2015-07-23 19:15:00,17.772,19.746,17.51,17.106
2015-07-23 19:30:00,17.772,18.913,17.51,16.939
2015-07-23 19:45:00,17.748,18.58,17.51,16.773
2015-07-23 20:00:00,17.748,18.533,17.51,16.558
2015-07-23 20:15:00,17.772,18.485,17.51,16.392
2015-07-23 20:30:00,17.772,18.414,17.51,16.368
2015-07-23 20:45:00,17.772,18.414,17.51,16.249
2015-07-23 21:00:00,17.748,18.533,17.51,16.01
2015-07-23 21:15:00,17.748,18.58,17.51,15.843
2015-07-23 21:30:00,17.748,18.604,17.51,15.7
2015-07-23 21:45:00,17.748,18.604,17.51,16.058
2015-07-23 22:00:00,17.748,18.533,17.51,15.963
2015-07-23 22:15:00,17.748,18.509,17.51,15.867
2015-07-23 22:30:00,17.748,18.604,17.51,15.843
2015-07-23 22:45:00,17.748,18.699,17.486,15.796
2015-07-23 23:00:00,17.724,18.652,17.486,15.629
2015-07-23 23:15:00,17.724,18.509,17.486,15.533
2015-07-23 23:30:00,17.724,18.39,17.486,15.39
2015-07-23 23:45:00,17.701,18.295,17.486,15.318
2015-07-24 00:00:00,17.701,18.152,17.486,15.27
2015-07-24 00:15:00,17.701,18.105,17.486,16.582
2015-07-24 00:30:00,17.701,18.081,17.486,16.63
2015-07-24 00:45:00,17.677,18.01,17.463,16.654
2015-07-24 01:00:00,17.677,17.962,17.463,16.534
2015-07-24 01:15:00,17.653,17.938,17.463,18.057
2015-07-24 01:30:00,17.653,17.915,17.463,18.081
2015-07-24 01:45:00,17.629,17.891,17.463,18.152
2015-07-24 02:00:00,17.629,17.819,17.463,18.224
2015-07-24 02:15:00,17.629,17.796,17.439,18.295
2015-07-24 02:30:00,17.605,17.724,17.439,18.343
2015-07-24 02:45:00,17.605,17.296,17.439,18.366
2015-07-24 03:00:00,17.582,17.249,17.439,18.366
2015-07-24 03:15:00,17.582,17.201,17.415,16.082
2015-07-24 03:30:00,17.558,17.13,17.415,16.082
2015-07-24 03:45:00,17.558,17.106,17.415,16.058
2015-07-24 04:00:00,17.534,17.058,17.391,16.01
2015-07-24 04:15:00,17.51,17.034,17.391,16.034
2015-07-24 04:30:00,17.51,16.987,17.391,15.867
2015-07-24 04:45:00,17.486,16.939,17.368,15.867
2015-07-24 05:00:00,17.463,16.892,17.368,15.843
2015-07-24 05:15:00,17.463,16.844,17.368,15.819
2015-07-24 05:30:00,17.439,16.796,17.344,15.796
2015-07-24 05:45:00,17.415,17.011,17.344,15.772
2015-07-24 06:00:00,17.391,16.963,17.32,15.748
2015-07-24 06:15:00,17.391,16.915,17.32,15.748
2015-07-24 06:30:00,17.368,16.892,17.296,15.7
2015-07-24 06:45:00,17.344,16.844,17.296,15.7
2015-07-24 07:00:00,17.32,16.796,17.272,15.676
2015-07-24 07:15:00,17.296,16.773,17.272,15.7
