dates,tension,temperature_stream,dH
2015-07-24 13:00:00,1.3109,16.9,-0.015519791720718315
2015-07-24 13:15:00,1.30175,16.912,-0.014762843940371856
2015-07-24 13:30:00,1.30568,16.931,-0.01500450339340047
2015-07-24 13:45:00,1.30522,16.939,-0.014940892470666925
2015-07-24 14:00:00,1.29301,16.983,-0.013834102854773905
2015-07-24 14:15:00,1.31384,16.986,-0.0154525434572901
2015-07-24 14:30:00,1.30404,17.001,-0.014634403372678908
2015-07-24 14:45:00,1.2908,17.006,-0.013581823211469486
2015-07-24 15:00:00,1.32807,17.016,-0.016461606921047207
2015-07-24 15:15:00,1.31678,17.028,-0.015537321411626667
2015-07-24 15:30:00,1.32033,17.052,-0.01573199098190039
2015-07-24 15:45:00,1.32509,17.059,-0.016080014147099614
2015-07-24 16:00:00,1.32937,17.075,-0.016359407344242415
2015-07-24 16:15:00,1.31525,17.077,-0.015248380830529821
2015-07-24 16:30:00,1.30373,17.085,-0.01431993099024518
2015-07-24 16:45:00,1.31476,17.077,-0.015210065182283879
2015-07-24 17:00:00,1.32895,17.077,-0.016319655077405945
2015-07-24 17:15:00,1.33623,17.081,-0.016875095571808486
2015-07-24 17:30:00,1.3315,17.088,-0.016481046284244613
2015-07-24 17:45:00,1.34051,17.091,-0.017175219616828292
2015-07-24 18:00:00,1.32181,17.099,-0.015685328236939956
2015-07-24 18:15:00,1.33406,17.108,-0.0166121231712728
2015-07-24 18:30:00,1.32876,17.122,-0.016149316630233005
2015-07-24 18:45:00,1.33356,17.142,-0.01645555076638547
2015-07-24 19:00:00,1.3341,17.152,-0.016463224761528138
2015-07-24 19:15:00,1.31411,17.148,-0.014913923268746356
2015-07-24 19:30:00,1.33963,17.148,-0.01690946478555503
2015-07-24 19:45:00,1.33749,17.145,-0.01675249248041946
2015-07-24 20:00:00,1.32387,17.141,-0.015701294414834838
2015-07-24 20:15:00,1.33192,17.13,-0.016368772333316357
2015-07-24 20:30:00,1.33028,17.127,-0.016250897628431727
2015-07-24 20:45:00,1.33803,17.125,-0.016863820714947176
2015-07-24 21:00:00,1.33524,17.121,-0.016659476670798205
2015-07-24 21:15:00,1.3209,17.122,-0.015534702354288022
2015-07-24 21:30:00,1.31853,17.121,-0.015352834870411345
2015-07-24 21:45:00,1.33284,17.126,-0.016454532483029447
2015-07-24 22:00:00,1.33711,17.122,-0.016802246554423934
2015-07-24 22:15:00,1.33486,17.118,-0.01664012791854598
2015-07-24 22:30:00,1.34066,17.113,-0.017110935788021208
2015-07-24 22:45:00,1.32986,17.108,-0.016283703329164796
2015-07-24 23:00:00,1.33413,17.105,-0.01662796225924644
2015-07-24 23:15:00,1.33497,17.104,-0.01669710136898088
2015-07-24 23:30:00,1.33982,17.104,-0.017076348091415127
2015-07-24 23:45:00,1.33356,17.102,-0.01659375641889886
2015-07-25 00:00:00,1.33551,17.108,-0.016725506212000564
2015-07-25 00:15:00,1.32685,17.109,-0.01604488063434122
2015-07-25 00:30:00,1.34226,17.111,-0.01724295839144993
2015-07-25 00:45:00,1.3283,17.104,-0.016175539381633165
2015-07-25 01:00:00,1.32746,17.101,-0.01612022083715007
2015-07-25 01:15:00,1.33608,17.095,-0.01681499431335351
2015-07-25 01:30:00,1.33272,17.09,-0.016569534146231267
2015-07-25 01:45:00,1.32937,17.086,-0.016321400789801224
2015-07-25 02:00:00,1.3333,17.083,-0.01663907335171223
2015-07-25 02:15:00,1.33631,17.078,-0.01689171661178715
2015-07-25 02:30:00,1.33177,17.07,-0.016564351532011155
2015-07-25 02:45:00,1.31891,17.062,-0.015586402384059323
2015-07-25 03:00:00,1.33833,17.053,-0.017136049449621868
2015-07-25 03:15:00,1.32811,17.045,-0.01636453563099505
2015-07-25 03:30:00,1.32181,17.033,-0.015913367563587053
2015-07-25 03:45:00,1.32715,17.023,-0.016365481347395603
2015-07-25 04:00:00,1.32372,17.009,-0.016145643788053745
2015-07-25 04:15:00,1.32189,16.998,-0.016040553125576437
2015-07-25 04:30:00,1.3307,16.987,-0.016767459396439432
2015-07-25 04:45:00,1.3117,16.973,-0.015330122565282898
2015-07-25 05:00:00,1.31075,16.956,-0.015314574527124283
2015-07-25 05:15:00,1.31876,16.939,-0.01599965548546273
2015-07-25 05:30:00,1.29915,16.914,-0.014552626136441224
2015-07-25 05:45:00,1.30602,16.891,-0.015169295414084528
2015-07-25 06:00:00,1.30289,16.871,-0.014993647262770271
2015-07-25 06:15:00,1.2702,16.847,-0.012520369549870961
2015-07-25 06:30:00,1.28115,16.827,-0.01344570982162354
2015-07-25 06:45:00,1.2707,16.807,-0.012697672802635318
2015-07-25 07:00:00,1.27607,16.789,-0.013179773572961583
2015-07-25 07:15:00,1.27268,16.775,-0.012963063821639823
2015-07-25 07:30:00,1.25959,16.752,-0.012018956897265063
2015-07-25 07:45:00,1.2541,16.728,-0.011672588638017631
2015-07-25 08:00:00,1.25269,16.717,-0.011600339959751139
