dates,tension,temperature_stream
17-06-2019 12:00,1.280078149,14.957
17-06-2019 12:15,1.281610577,14.925
17-06-2019 12:30,1.282990957,14.874
17-06-2019 12:45,1.286161721,14.75
17-06-2019 13:00,1.289370407,14.628
17-06-2019 13:15,1.289359744,14.508
17-06-2019 13:30,1.290412054,14.352
17-06-2019 13:45,1.291374816,14.217
17-06-2019 14:00,1.289620261,14.101
17-06-2019 14:15,1.28843824,14.017
17-06-2019 14:30,1.285920397,13.951
17-06-2019 14:45,1.285497471,13.895
17-06-2019 15:00,1.285194699,13.85
17-06-2019 15:15,1.283812412,13.795
17-06-2019 15:30,1.28335289,13.73
17-06-2019 15:45,1.282448777,13.676
17-06-2019 16:00,1.280702406,13.62
17-06-2019 16:15,1.281150582,13.56
17-06-2019 16:30,1.279848803,13.493
17-06-2019 16:45,1.279037252,13.415
17-06-2019 17:00,1.276820061,13.345
17-06-2019 17:15,1.273255603,13.276
17-06-2019 17:30,1.273321901,13.21
17-06-2019 17:45,1.27226172,13.141
17-06-2019 18:00,1.271435424,13.072
17-06-2019 18:15,1.271832868,12.983
17-06-2019 18:30,1.27114782,12.904
17-06-2019 18:45,1.272418091,12.832
17-06-2019 19:00,1.272286417,12.77
17-06-2019 19:15,1.273991953,12.719
17-06-2019 19:30,1.273275766,12.671
17-06-2019 19:45,1.274087381,12.624
17-06-2019 20:00,1.275021482,12.58
17-06-2019 20:15,1.273890552,12.536
17-06-2019 20:30,1.27745913,12.493
17-06-2019 20:45,1.276592616,12.447
17-06-2019 21:00,1.277442154,12.402
17-06-2019 21:15,1.277734697,12.372
17-06-2019 21:30,1.279318788,12.334
17-06-2019 21:45,1.277920429,12.295
17-06-2019 22:00,1.278443806,12.251
17-06-2019 22:15,1.279109472,12.213
17-06-2019 22:30,1.277436615,12.169
17-06-2019 22:45,1.277763062,12.145
17-06-2019 23:00,1.27796401,12.121
17-06-2019 23:15,1.279374275,12.08
17-06-2019 23:30,1.279794289,12.031
17-06-2019 23:45,1.279944864,11.989
18-06-2019 00:00,1.278288797,11.951
18-06-2019 00:15,1.279859149,11.921
18-06-2019 00:30,1.283060666,11.897
18-06-2019 00:45,1.286625944,11.88
18-06-2019 01:00,1.289010067,11.869
18-06-2019 01:15,1.286555444,11.865
18-06-2019 01:30,1.287924525,11.865
18-06-2019 01:45,1.287039359,11.883
18-06-2019 02:00,1.287309554,11.915
18-06-2019 02:15,1.286250995,11.975
18-06-2019 02:30,1.285655865,12.045
18-06-2019 02:45,1.284523544,12.133
18-06-2019 03:00,1.284337526,12.233
18-06-2019 03:15,1.284405483,12.313
18-06-2019 03:30,1.280482047,12.431
18-06-2019 03:45,1.2804752,12.523
18-06-2019 04:00,1.280498303,12.5
18-06-2019 04:15,1.277146682,12.628
18-06-2019 04:30,1.279381954,12.68
18-06-2019 04:45,1.279819376,12.767
18-06-2019 05:00,1.27786357,12.999
18-06-2019 05:15,1.276175443,13.186
18-06-2019 05:30,1.27668566,13.263
18-06-2019 05:45,1.270288082,13.351
18-06-2019 06:00,1.269927132,13.557
18-06-2019 06:15,1.270942644,13.608
18-06-2019 06:30,1.269531125,13.69
18-06-2019 06:45,1.26828841,13.78
18-06-2019 07:00,1.26822402,13.952
18-06-2019 07:15,1.265790575,14.12
18-06-2019 07:30,1.266030026,14.211
18-06-2019 07:45,1.264429429,14.22
18-06-2019 08:00,1.264002283,14.384
18-06-2019 08:15,1.263076937,14.442
18-06-2019 08:30,1.264392964,14.58
18-06-2019 08:45,1.261380958,14.722
18-06-2019 09:00,1.261063017,14.8
18-06-2019 09:15,1.260812812,14.856
18-06-2019 09:30,1.258377459,14.918
18-06-2019 09:45,1.260792473,14.916
18-06-2019 10:00,1.2593018,14.861
18-06-2019 10:15,1.257532897,14.782
18-06-2019 10:30,1.256546229,14.725
18-06-2019 10:45,1.256354322,14.74
18-06-2019 11:00,1.256004486,14.81
18-06-2019 11:15,1.2564574,14.768
18-06-2019 11:30,1.255556549,14.671
18-06-2019 11:45,1.257011298,14.563
18-06-2019 12:00,1.258390959,14.49
18-06-2019 12:15,1.258238476,14.426
18-06-2019 12:30,1.257588448,14.403
18-06-2019 12:45,1.257884004,14.37
18-06-2019 13:00,1.258205963,14.288
18-06-2019 13:15,1.258638316,14.204
18-06-2019 13:30,1.259540807,14.129
18-06-2019 13:45,1.259017531,14.065
18-06-2019 14:00,1.259248937,14.005
18-06-2019 14:15,1.259169249,13.931
18-06-2019 14:30,1.261233772,13.852
18-06-2019 14:45,1.260764491,13.774
18-06-2019 15:00,1.26069083,13.694
18-06-2019 15:15,1.261341678,13.631
18-06-2019 15:30,1.261197231,13.559
18-06-2019 15:45,1.261850088,13.494
18-06-2019 16:00,1.261152664,13.433
18-06-2019 16:15,1.261275684,13.373
18-06-2019 16:30,1.261530589,13.318
18-06-2019 16:45,1.261632515,13.279
18-06-2019 17:00,1.261634809,13.254
18-06-2019 17:15,1.260400231,13.228
18-06-2019 17:30,1.261736698,13.198
18-06-2019 17:45,1.263433193,13.156
18-06-2019 18:00,1.263957574,13.111
18-06-2019 18:15,1.263898446,13.079
18-06-2019 18:30,1.262835685,13.058
18-06-2019 18:45,1.261506821,13.035
18-06-2019 19:00,1.262030917,13.013
18-06-2019 19:15,1.261818449,12.986
18-06-2019 19:30,1.261311679,12.951
18-06-2019 19:45,1.261644153,12.921
18-06-2019 20:00,1.260127363,12.892
18-06-2019 20:15,1.262450313,12.834
